EPOCHS ,RGB    ,Gray   ,RGB-T0 ,Gray-T0,RGB-T1 ,Gray-T1,RGB-T2 ,Gray-T2,
    110,0.91837,0.92585,0.92494,0.92653,0.91905,0.92971,0.92789,0.93787,
    111,0.91247,0.93084,0.91995,0.93061,0.92109,0.93356,0.92109,0.94014,
    112,0.91655,0.93401,0.91678,0.92585,0.92132,0.93447,0.92290,0.93832,
    113,0.92132,0.92880,0.92472,0.92857,0.91905,0.92630,0.92086,0.93560,
    114,0.91156,0.92812,0.91565,0.92245,0.91746,0.93220,0.92177,0.93991,
    115,0.91973,0.92993,0.91270,0.92562,0.92902,0.92880,0.93243,0.94172,
    116,0.91973,0.92971,0.91859,0.92721,0.91995,0.93651,0.92472,0.94150,
    117,0.91701,0.92948,0.91859,0.92540,0.91587,0.94331,0.92449,0.93220,
    118,0.92018,0.92608,0.92653,0.92472,0.92676,0.94240,0.92585,0.93605,
    119,0.91519,0.93243,0.91837,0.92540,0.92063,0.93628,0.93016,0.93696,
    120,0.92562,0.93061,0.92721,0.93220,0.92313,0.93401,0.92472,0.93424,
    121,0.92268,0.92948,0.92358,0.93039,0.92404,0.93832,0.93084,0.94626,
    122,0.91723,0.93175,0.91905,0.91927,0.92494,0.93492,0.92721,0.93356,
    123,0.91338,0.93243,0.92063,0.93039,0.92245,0.93787,0.92698,0.93469,
    124,0.91859,0.92834,0.92426,0.93447,0.91859,0.93515,0.92812,0.93401,
    125,0.91270,0.92902,0.92381,0.93107,0.92404,0.93605,0.92245,0.93832,
    126,0.92426,0.93447,0.92245,0.93220,0.92698,0.93583,0.93333,0.94308,
    127,0.92812,0.93356,0.92540,0.93469,0.92290,0.93741,0.92698,0.93855,
    128,0.91950,0.92698,0.92290,0.93288,0.92222,0.93991,0.93016,0.93810,
    129,0.92018,0.93605,0.92834,0.93039,0.92834,0.93220,0.93084,0.94036,
    130,0.91927,0.93333,0.92200,0.92630,0.92358,0.93878,0.92902,0.94127,
    131,0.91202,0.93651,0.92653,0.92880,0.92358,0.94240,0.92653,0.94127,
    132,0.92290,0.94172,0.92222,0.93605,0.92766,0.93424,0.92585,0.93651,
    133,0.91882,0.92494,0.93311,0.93311,0.92880,0.93764,0.92857,0.94059,
    134,0.92041,0.93719,0.93129,0.92948,0.92585,0.93832,0.92517,0.94218,
    135,0.91882,0.93107,0.92789,0.92200,0.92744,0.94286,0.92200,0.93923,
    136,0.92744,0.93628,0.91995,0.93356,0.93197,0.93855,0.93333,0.94535,
    137,0.92086,0.93333,0.92653,0.93152,0.92857,0.93855,0.92721,0.93900,
    138,0.92812,0.93741,0.93039,0.93968,0.92653,0.93787,0.92494,0.94127,
    139,0.92517,0.93175,0.92766,0.93515,0.92404,0.94376,0.93175,0.94535,
    140,0.91791,0.93016,0.92426,0.93832,0.92744,0.94036,0.92948,0.93900,
    141,0.91859,0.93560,0.92653,0.93651,0.92789,0.94331,0.93515,0.94240,
    142,0.91633,0.93107,0.92562,0.93968,0.92653,0.94649,0.93061,0.94240,
    143,0.91655,0.93265,0.93265,0.93991,0.93061,0.94240,0.93333,0.94127,
    144,0.92494,0.93560,0.92834,0.94354,0.93537,0.94240,0.92902,0.94467,
    145,0.92154,0.93741,0.92494,0.93583,0.92517,0.94195,0.92925,0.94014,
    146,0.92268,0.93333,0.92925,0.93651,0.92948,0.94399,0.93401,0.93946,
    147,0.92630,0.93696,0.92834,0.93719,0.92857,0.94127,0.93946,0.94694,
    148,0.91610,0.93991,0.92653,0.93855,0.93152,0.93560,0.92902,0.94308,
    149,0.92268,0.93311,0.93152,0.93832,0.93583,0.94376,0.93311,0.94626,
    150,0.92358,0.93696,0.92993,0.92971,0.92540,0.94218,0.93605,0.94989,
    151,0.92449,0.93605,0.93039,0.93923,0.93537,0.94580,0.93084,0.94694,
    152,0.92698,0.93651,0.92857,0.93991,0.93447,0.93923,0.93129,0.94082,
    153,0.92290,0.93583,0.93152,0.93673,0.93288,0.93878,0.93379,0.94286,
