EPOCHS ,orginal,aug c16,augment,
    782,0.97052,
    783,0.97166,
    784,0.97392,
    785,0.96463,
    786,0.96531,
    787,0.96984,
    788,0.96961,
    789,0.97211,
    790,0.97120,
    791,0.96485,
    792,0.96893,
    793,0.97279,
    794,0.96803,
    795,0.97528,
    796,0.97166,
    797,0.97143,
    798,0.97166,
    799,0.97506,
    800,0.97279,
    801,0.96689,
    802,0.97075,
    803,0.96961,
    804,0.96939,
    805,0.97007,
    806,0.97302,
    807,0.97007,
    808,0.96757,
    809,0.97098,
    810,0.96961,
    811,0.96825,
    812,0.97528,
    813,0.97347,
    814,0.97370,
    815,0.96939,
    816,0.97120,
    817,0.97211,
    818,0.97166,
    819,0.97506,
    820,0.96621,
    821,0.96621,
    822,0.97098,
    823,0.96712,
    824,0.96689,
    825,0.96961,
    826,0.96916,
    827,0.96780,
    828,0.96735,
    829,0.97007,
    830,0.97075,
    831,0.97120,
    832,0.97052,
    833,0.96644,
    834,0.97347,
    835,0.97324,
    836,0.97234,
    837,0.97347,
    838,0.96893,
    839,0.97007,
    840,0.97234,
    841,0.97143,
    842,0.97438,
    843,0.97347,
    844,0.97029,
    845,0.96735,
    846,0.96757,
    847,0.96961,
    848,0.96871,
    849,0.97052,
    850,0.97120,
    851,0.96780,
    852,0.97234,
    853,0.96780,
    854,0.97324,
    855,0.97347,
    856,0.97302,
    857,0.97279,
    858,0.97007,
    859,0.97052,
    860,0.97188,
    861,0.96984,
    862,0.97347,
    863,0.96599,
    864,0.97120,
    865,0.96644,
    866,0.97188,
    867,0.96961,
    868,0.97120,
    869,0.97256,
    870,0.97075,
    871,0.96825,
    872,0.97098,
    873,0.97392,
    874,0.97370,
    875,0.97098,
    876,0.97415,
    877,0.97574,
    878,0.97279,
    879,0.97528,
    880,0.97234,
    881,0.97188,
    882,0.97347,
    883,0.97302,
    884,0.96757,
    885,0.96531,
    886,0.96576,
    887,0.96712,
    888,0.96848,
    889,0.97211,
    890,0.97302,
    891,0.97029,
    892,0.97506,
    893,0.97279,
    894,0.97279,
    895,0.96871,
    896,0.97234,
    897,0.97098,
    898,0.97256,
    899,0.97007,
    900,0.97438,
    901,0.97120,
    902,0.96712,
    903,0.97029,
    904,0.96893,
    905,0.97234,
    906,0.96916,
    907,0.96485,
    908,0.96871,
    909,0.96916,
    910,0.96984,
    911,0.96803,
    912,0.96893,
    913,0.97324,
    914,0.96825,
    915,0.97029,
    916,0.96621,
    917,0.96803,
    918,0.96553,
    919,0.96712,
    920,0.96961,
    921,0.96757,
    922,0.96485,
    923,0.96984,
    924,0.97120,
    925,0.96735,
    926,0.96803,
    927,0.96939,
    928,0.96825,
    929,0.97143,
    930,0.96961,
    931,0.96984,
    932,0.97188,
    933,0.97551,
    934,0.97188,
    935,0.96939,
    936,0.96644,
    937,0.97098,
    938,0.97324,
    939,0.96893,
    940,0.96825,
    941,0.97324,
    942,0.97075,
    943,0.96825,
    944,0.97279,
    945,0.97166,
    946,0.97596,
    947,0.97007,
    948,0.96395,
    949,0.96961,
    950,0.96825,
    951,0.97098,
    952,0.97551,
    953,0.97279,
    954,0.96939,
    955,0.97234,
    956,0.97075,
    957,0.97347,
    958,0.97098,
    959,0.97166,
    960,0.97052,
    961,0.97188,
    962,0.97279,
    963,0.97438,
    964,0.97302,
    965,0.97370,
    966,0.97302,
    967,0.97324,
    968,0.97460,
    969,0.97619,
    970,0.97528,
    971,0.97279,
    972,0.97438,
    973,0.97120,
    974,0.97302,
    975,0.97075,
    976,0.97324,
    977,0.96984,
    978,0.97279,
    979,0.96984,
    980,0.97075,
    981,0.97211,
    982,0.97188,
    983,0.96984,
    984,0.97098,
    985,0.96871,
    986,0.97483,
    987,0.97438,
    988,0.97551,
    989,0.97347,
    990,0.97120,
    991,0.97506,
    992,0.97415,
